NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects),
No NIH Category available.,"acetylcholine;anticholinergic agent;atropine;behavior test;biological clocks;brain stem;carbachol;cholinergic agents;circadian rhythms;electrostimulus;ethology;laboratory rat;male;neurochemistry;neuropharmacology;neurophysiology;neuroregulation;predoctoral investigator;REM sleep;sleep;sleep deprivation;suprachiasmatic nucleus;","Cholinergic Regulation of Sleep and Circadian Rhythms",n/a,"NINDS","7117615","14-AUG-2006","",5F30NS047802-03,5,F30,NS,047802,03,,"MITLER, MERRILL","9-AUG-2004","8-AUG-2008","Special Emphasis Panel (ZNS1-SRB-M (06))",,"6917035","ABBOTT, SABRA M",Not Applicable,"15","ANATOMY/CELL BIOLOGY","041544081","US","40.094458","-88.238635","577704","UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN","CHAMPAIGN","IL","SCHOOLS OF ARTS AND SCIENCES","61820-7406","UNITED STATES", ,"9-AUG-2006","8-AUG-2007","853",Training; Individual,2006,NINDS,,,76690,
No NIH Category available.,"acetylcholine;Alzheimer's disease;biological signal transduction;blood brain barrier;cerebral ischemia /hypoxia;electrolyte balance;immunocytochemistry;laboratory rat;nerve injury;nicotinic receptors;phosphorylation;potassium ion;protein kinase C;smoking;stroke;stroke therapy;tobacco abuse;western blottings;","Tobacco Smoke Chemicals and Stroke Alter Brain K+ Efflux",n/a,"NINDS","7039097","12-MAY-2006","",5R01NS046526-03,5,R01,NS,046526,03,,"JACOBS, TOM P","1-JUL-2004","31-MAR-2009","Special Emphasis Panel (ZRG1-CDIN (01)Q)",,"2095306","ABBRUSCATO, THOMAS J",Not Applicable,"19","PHARMACOLOGY","609980727; 962545658","US","33.568999","-101.884244","8285902","TEXAS TECH UNIVERSITY HEALTH SCIS CENTER","LUBBOCK","TX","SCHOOLS OF PHARMACY","79430-6271","UNITED STATES", ,"1-APR-2006","31-MAR-2007","853",Research Projects,2006,NINDS,,,301802,
No NIH Category available.,"apoptosis;autosomal recessive trait;biological signal transduction;cell growth regulation;cellular pathology;clinical research;enzyme activity;gene mutation;HeLa cells;immunocytochemistry;immunoprecipitation;laboratory mouse;ligase;molecular pathology;neural degeneration;neuroprotectants;Parkinson's disease;protein degradation;protein structure function;SDS polyacrylamide gel electrophoresis;ubiquitin;western blottings;yeast two hybrid system;","Molecular and Cellular Analyses of Parkin Function",n/a,"NINDS","7084412","30-JUN-2006","",5R01NS046659-04,5,R01,NS,046659,04,,"MURPHY, DIANE","1-JUL-2003","30-JUN-2008","Molecular, Cellular and Developmental Neurosciences 2 (MDCN-2) ",,"1925090","ABELIOVICH, ASA ",Not Applicable,"15","PATHOLOGY","621889815","US","40.841253","-73.940404","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF MEDICINE","10032-0049","UNITED STATES", ,"1-JUL-2006","30-JUN-2007","853",Research Projects,2006,NINDS,,,379188,
No NIH Category available.,"alpha synuclein;cytoprotection;developmental neurobiology;disease /disorder model;dopamine;gene mutation;genetically modified animals;laboratory mouse;molecular chaperones;molecular pathology;neurofilament;neurons;oxidative stress;Parkinson's disease;pathologic process;protein structure function;X ray crystallography;","Molecular and Cellular Analysis of DJ-1 Function",n/a,"NINDS","7017707","25-JUL-2006","",5R01NS049070-02,5,R01,NS,049070,02,,"OLIVER, EUGENE J","1-JUL-2005","30-JUN-2010","Neurodegeneration and Biology of Glia Study Section (NDBG) ",,"1925090","ABELIOVICH, ASA ",Not Applicable,"15","PATHOLOGY","621889815","US","40.841253","-73.940404","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF MEDICINE","10032-0049","UNITED STATES", ,"1-JUL-2006","30-JUN-2007","853",Research Projects,2006,NINDS,,,358388,
No NIH Category available.,"acidity /alkalinity;chimeric proteins;electrophysiology;gap junctions;gene mutation;genetically modified animals;hereditary motor and sensory neuropathy;ion transport;laboratory mouse;membrane channels;membrane permeability;membrane proteins;molecular pathology;protein structure function;Schwann cells;sex linked trait;transfection;voltage gated channel;Xenopus;Xenopus oocyte;","Connexin 32 Mutations in X-Linked CMT",n/a,"NINDS","6999289","1-DEC-2005","PA-00-020",5K02NS050345-02,5,K02,NS,050345,02,,"PORTER, JOHN D","1-JAN-2005","31-DEC-2009","NST-2 Subcommittee (NST) ",,"1904967","ABRAMS, CHARLES K",Not Applicable,"15","NEUROSCIENCES","110521739","US","40.851026","-73.844361","9433501","ALBERT EINSTEIN COL OF MED YESHIVA UNIV","BRONX","NY","SCHOOLS OF MEDICINE","10461-1900","UNITED STATES", ,"1-JAN-2006","31-DEC-2006","853",Other Research-Related,2006,NINDS,,,174258,
No NIH Category available.,"apoptosis;cell morphology;cell proliferation;electron microscopy;electrophysiology;gap junctions;hereditary peripheral nervous system disorder;laboratory mouse;membrane channels;morphometry;myelination;nervous system regeneration;northern blottings;Schwann cells;small interfering RNA;terminal nick end labeling;tissue /cell culture;transcription factor;voltage /patch clamp;western blottings;","Connexins in Nerve Regeneration and Inherited Neuropathy",n/a,"NINDS","7490259","31-AUG-2007","",7R01NS050705-03,7,R01,NS,050705,03,,"KLEITMAN, NAOMI","15-AUG-2005","31-MAY-2010","Clinical Neuroplasticity and Neurotransmitters Study Section (CNNT) ",,"1904967","ABRAMS, CHARLES K",Not Applicable,"11","NEUROLOGY","040796328","US","40.655659","-73.944638","5992616","SUNY DOWNSTATE MEDICAL CENTER","BROOKLYN","NY","SCHOOLS OF MEDICINE","11203-2012","UNITED STATES", ,"1-MAR-2007","31-MAY-2007","853",Research Projects,2006,NINDS,,,145033,
No NIH Category available.,"apoptosis;cell morphology;cell proliferation;electron microscopy;electrophysiology;gap junctions;hereditary peripheral nervous system disorder;laboratory mouse;membrane channels;morphometry;myelination;nervous system regeneration;northern blottings;Schwann cells;small interfering RNA;terminal nick end labeling;tissue /cell culture;transcription factor;voltage /patch clamp;western blottings;","Connexins in Nerve Regeneration and Inherited Neuropathy",n/a,"NINDS","7110311","30-MAY-2006","",5R01NS050705-02,5,R01,NS,050705,02,,"KLEITMAN, NAOMI","15-AUG-2005","28-FEB-2007","Clinical Neuroplasticity and Neurotransmitters Study Section (CNNT) ",,"1904967","ABRAMS, CHARLES K",Not Applicable,"15","NEUROSCIENCES","110521739","US","40.851026","-73.844361","9433501","ALBERT EINSTEIN COL OF MED YESHIVA UNIV","BRONX","NY","SCHOOLS OF MEDICINE","10461-1900","UNITED STATES", ,"1-JUN-2006","28-FEB-2007","853",Research Projects,2006,NINDS,,,151870,
No NIH Category available.,"apoptosis;biological signal transduction;cell migration;cell surface receptors;cerebellum;developmental genetics;developmental neurobiology;dissection;embryo /fetus tissue /cell culture;gene mutation;growth factor receptors;immunocytochemistry;laboratory mouse;mammalian embryology;nerve growth factors;neurogenesis;neurogenetics;neuronal guidance;neuronal transport;northern blottings;polymerase chain reaction;protein structure function;pyramidal tracts;receptor expression;single nucleotide polymorphism;","Neuronal Migration and Cerebellar Foliation",n/a,"NINDS","6989111","8-FEB-2006","",5R01NS035900-10,5,R01,NS,035900,10,,"LEBLANC, GABRIELLE G","1-FEB-1997","31-JAN-2009","Developmental Brain Disorders Study Section (DBD) ",,"1922023","ACKERMAN, SUSAN L",Not Applicable,"02","Unavailable","042140483","US","44.385065","-68.267533","7096501","JACKSON LABORATORY","BAR HARBOR","ME","Research Institutes","04609-1500","UNITED STATES", ,"1-FEB-2006","31-JAN-2007","853",Research Projects,2006,NINDS,,,381629,
No NIH Category available.,"amyotrophic lateral sclerosis;birth;gene therapy;genes;genetically modified animals;laboratory mouse;motor neurons;muscle;neurotrophic factors;striated muscles;","Intravenous non-viral gene therapy for amyotrophic lateral sclerosis",n/a,"NINDS","7161253","20-SEP-2006","PA-06-007",1R41NS054345-01A1,1,R41,NS,054345,01,A1,"REFOLO, LORENZO","20-SEP-2006","31-AUG-2008","Special Emphasis Panel (ZRG1-BDCN-F (11)B)",,"6668548","ACSADI, GYULA ",Not Applicable,"02","Unavailable","937904944","US","43.058026","-89.468105","3544401","MIRUS BIO CORPORATION","MADISON","WI","Domestic For-Profits","53711-1000","UNITED STATES", ,"20-SEP-2006","31-AUG-2008","853",SBIR-STTR,2006,NINDS,,,203569,
No NIH Category available.,"Alzheimer's disease;amantadine;amyloid proteins;animal tissue;aspartic endopeptidases;bicyclic compound;blood brain barrier;cell free system;chemical structure function;clathrate;disease /disorder prevention /control;enzyme inhibitors;mathematical model;membrane permeability;neuritic plaques;peptide chemical synthesis;presenilin;therapy design /development;tissue /cell culture;tropanes;","Non-Peptide Amyloid Plaque Formation Inhibitors",n/a,"NINDS","7012562","16-DEC-2005","PA-03-053",1R15NS050177-01A1,1,R15,NS,050177,01,A1,"CORRIVEAU, RODERICK A","1-JAN-2006","31-DEC-2010","Special Emphasis Panel (ZRG1-CDIN-D (01)Q)",,"1859300","ADEJARE, ADEBOYE ",Not Applicable,"02","PHARMACOLOGY","079497681","US","39.948363","-75.209137","6503701","UNIVERSITY OF THE SCIENCES PHILADELPHIA","PHILADELPHIA","PA","SCHOOLS OF PHARMACY","19104-4495","UNITED STATES", ,"1-JAN-2006","31-DEC-2010","853",Research Projects,2006,NINDS,,,222150,
