NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,Acute;Acute Brain Injuries;Adaptive Behaviors;Address;base;Brain Injuries;career;career development;Cerebrum;Characteristics;Child;Clinical;Clinical Investigator;clinical practice;Clinical Research;Clinical Trials;Clinical Trials Design;cohort;Conduct Clinical Trials;Consensus;Critical Care;Critical Illness;Critically ill children;Data;data management;design;Dose;Effectiveness;Electrographic Status Epilepticus;Environment;Epidemiology;Epilepsy;expectation;experience;follow-up;Foundations;Future;Goals;Guidelines;high risk;Hour;improved;improved outcome;innovation;Intervention;Investigation;investigator training;K-Series Research Career Programs;Lead;medication administration;Mentors;Mentorship;mid-career faculty;Mission;Modality;Modeling;Monitor;multi-component intervention;Multi-Institutional Clinical Trial;National Institute of Neurological Disorders and Stroke;nervous system disorder;neurobehavioral;Neurologic;Neurological outcome;Neurology;novel;Observational Study;Outcome;Outcome Measure;Outcomes Research;Paper;Participant;Patient-Focused Outcomes;Patients;Pediatric Hospitals;Pediatric Intensive Care Units;Pediatrics;Pennsylvania;Pharmaceutical Preparations;Philadelphia;Positioning Attribute;predictive modeling;Productivity;prospective;Public Health;Publishing;Quality of life;Randomized;Readiness;Research;Research Infrastructure;Research Peer Review;Research Personnel;Resources;retention rate;Risk;safety and feasibility;Science;Seizures;Severity of illness;skills;standard care;Standardization;Statistical Data Interpretation;Surveys;therapy development;Time;Training;United States National Institutes of Health;Universities;Variant;willingness;Work;,Electrographic seizure management and neurobehavioral outcomes in critically ill children.,PROJECT NARRATIVEThe proposed research is relevant to public health because electrographic seizures are common incritically ill children with acute brain injuries and optimized electrographic seizure management is predictedto improve patient outcomes. This research will (1) develop and validate a model predicting which criticallyill children with acute brain injuries are at high risk for electrographic status epilepticus; (2) assess thesafety and feasibility of an optimized high-intensity multi-modal electrographic seizure identification andmanagement intervention; and (3) provide the primary investigator with advanced clinical trial trainingneeded to advance this line of investigation. Thus; the proposed research is relevant to NIH?s missionsince it is expected to lead to a novel neuroprotective strategy that reduces the burden of neurologicdisease.,NINDS,9649261,18-Dec-18,PA-14-045,5K02NS096058-03,5,K02,NS,96058,3,,"WHITTEMORE, VICKY R",1-Feb-17,31-Jan-22,Special Emphasis Panel (ZNS1-SRB-B (53)),,10583053,"ABEND, NICHOLAS SCOTT",Not Applicable,2,Unavailable,73757627,US,39.946629,-75.196611,1499101,CHILDREN'S HOSP OF PHILADELPHIA,PHILADELPHIA,PA,Independent Hospitals,19104-4318,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Other Research-Related,2019,NINDS,178730,14298,193028,
No NIH Category available.,Acute;Affect;age related;aging population;Alzheimer's Disease;attenuation;base;Biochemical;Brain;brain parenchyma;CASP3 gene;Caspase;cell immortalization;cerebral atrophy;Cerebrospinal Fluid;Chemosensitization;Chronic;Cleaved cell;Code;Cognition;Cognitive;cognitive testing;Data;Defect;Dementia;design;Development;Disease;Disease Progression;Distributional Activity;effective therapy;Electrophysiology (science);Endoplasmic Reticulum;endoplasmic reticulum stress;Enzymes;Gene Expression Profiling;Genes;genetic approach;Goals;Homeostasis;Human;imaging approach;immortalized cell;Impaired cognition;Impairment;improved;In Situ;in vitro Model;in vivo;Individual;innovation;Lead;Link;Magnetic Resonance Imaging;Manganese;Measurement;Measures;Mediating;Mediator of activation protein;Modeling;Morphology;mouse model;Mus;Nerve Degeneration;Neurodegenerative Disorders;Neurofibrillary Tangles;Neurologic Deficit;Neuronal Dysfunction;Neurons;neurotoxicity;new therapeutic target;non-invasive imaging;novel;novel marker;novel therapeutics;Outcome;Participant;Pathogenesis;Pathogenicity;Pathologic;Pathology;Pathway interactions;Patients;Pharmacology;Phosphotransferases;Play;Prion Diseases;Production;Progressive Supranuclear Palsy;protein kinase R;Protein Synthesis Inhibition;Proteins;Public Health;public health relevance;Reporting;Research;Risk;RNA;Role;sensor;Slice;Synapses;tau aggregation;tau mutation;tau Proteins;Tauopathies;Tenuate;Testing;Therapeutic;therapeutic target;Time;Transgenic Mice;Translations;United States;Work;,PERK as a Central Mediator of Neurotoxicity in Tauopathies,PUBLIC HEALTH RELEVANCE: The proposed research is relevant to public health because it aims to identify a pathway known as PERK as a contributor of damage to neurons in nineteen related neurodegenerative disorders called tauopathies; the most common of which is Alzheimer's disease. These diseases present irreversible and severe brain atrophy and cognitive impairment and impact millions of people. Discovery of the mechanisms by which PERK damages neurons in the brain will establish a specific target that may lead to development of novel therapeutics.,NINDS,9783076,7-Dec-18,PA-18-590,7R01NS091329-05,7,R01,NS,91329,5,,"CORRIVEAU, RODERICK A",1-Sep-18,31-Aug-20,Cellular and Molecular Biology of Neurodegeneration Study Section (CMND) ,,10569691,"ABISAMBRA, JOSE FRANCISCO",Not Applicable,3,NEUROSCIENCES,969663814,US,29.67667,-82.340932,513806,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,SCHOOLS OF MEDICINE,32611-5500,UNITED STATES, ,1-Sep-18,31-Aug-19,853,Research Projects,2019,NINDS,212549,111588,324137,
No NIH Category available.,Adopted;Age;Amygdaloid structure;Anatomy;Animals;Anterior;Anxiety Disorders;Autistic Disorder;awake;base;Behavioral;Brain;Brain Mapping;Brain region;causal model;cingulate cortex;Cognitive;cognitive neuroscience;Communities;Complement;connectome;Coupled;Data;Data Correlations;Databases;Deep Brain Stimulation;Development;Disease;Electric Stimulation;Electrodes;Electrophysiology (science);Emotions;Ensure;Epilepsy;Ethics;experimental study;Functional disorder;Functional Magnetic Resonance Imaging;Funding;Future;Gender;Generations;Grant;Health;Human;Image;implantation;Individual;Individual Differences;Infrastructure;Institutional Review Boards;interest;Intervention;Knowledge;Link;Maps;Measures;Medial;Mental Depression;Mental disorders;Methods;Monitor;Mood Disorders;Moods;nervous system disorder;network architecture;Neurodegenerative Disorders;Neurosurgeon;novel;Outcome;Patient Self-Report;Patients;Pattern;performance site;Prefrontal Cortex;Process;Protocols documentation;Psychophysiology;relating to nervous system;Reproducibility;Research;Rest;Safety;safety testing;Series;sharing data;Site;Structure;System;Techniques;Testing;Time;United States National Institutes of Health;Validation;Work;,Causal mapping of emotion networks with concurrent electrical stimulation and fMRI,Mood and anxiety disorders are known to arise from abnormal interactions within brainnetworks; but we know little about how one brain region causes activity in another; and abouthow such activity generates emotions. We will leverage the rare opportunity to directlyelectrically stimulate brain regions such as the amygdala in neurosurgical patients; withconcurrent fMRI to map the causal networks. The results will provide the first systematicmapping of causal networks in the human brain and directly inform interventions to treat mooddisorders through deep-brain stimulation.,NINDS,9607643,29-Nov-18,RFA-NS-17-019,5U01NS103780-02,5,U01,NS,103780,2,,"GNADT, JAMES W",15-Dec-17,30-Nov-20,Special Emphasis Panel (ZNS1-SRB-T (24)),,2092028,"ADOLPHS, RALPH  ","HOWARD, MATTHEW A.;POLDRACK, RUSSELL A",27,NONE,9584210,US,34.134337,-118.126525,1073501,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,91125-0001,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Research Projects,2019,NINDS,774493,182345,956838,
No NIH Category available.,Amino Acids;base;Biophysics;Caliber;Cells;Chemicals;Chemistry;Chicago;Collaborations;college;Communities;Core Facility;cost;Custom;Data;design;dissemination research;DNA;Ensure;Environment;experience;experimental study;Generations;Goals;Human;improved;Industrialization;Infrastructure;Integral Membrane Protein;interest;Ion Channel;Iowa;Journals;Laboratories;Letters;Medicine;member;Membrane;Membrane Proteins;Methods;Mission;Molecular;Molecular Conformation;Mutagenesis;National Institute of Neurological Disorders and Stroke;nervous system disorder;Neurosciences;next generation;novel;novel therapeutics;Online Systems;Optics;outreach services;Peer Review;Piper;Potassium Channel;Production;professor;Property;protein structure;Proteins;Protocols documentation;Publishing;Reagent;Records;Reporting;Research;research data dissemination;Research Personnel;Resolution;Resources;response;Science;Services;Shipping;Side;Site;Sodium Channel;Standardization;Structure;success;Technical Expertise;Techniques;Technology;tool;Training;Transfer RNA;United States National Institutes of Health;Universities;unnatural amino acids;Virginia;Vision;voltage;wiki;Work;,The Facility for Atomic Mutagenesis,The proposed efforts will result in the efficient dissemination of reagents that will enable end users toperform atomic mutagenesis and to encode next generation powerful optical probes to advance theunderstanding of membrane proteins. Success of the proposed endeavors will enable the generationof powerful and widely applicable research tools and functional data that will be widely available tothe NINDS research community.,NINDS,9605303,13-Nov-18,RFA-NS-17-002,5R24NS104617-02,5,R24,NS,104617,2,,"SILBERBERG, SHAI D",1-Dec-17,30-Nov-21,Special Emphasis Panel (ZNS1-SRB-M (01)),,8621083,"AHERN, CHRISTOPHER A",Not Applicable,2,Unavailable,62761671,US,41.662689,-91.547715,3972901,UNIVERSITY OF IOWA,IOWA CITY,IA,Domestic Higher Education,52242-1320,UNITED STATES, ,1-Dec-18,30-Nov-19,853,Other Research-Related,2019,NINDS,170812,89676,260488,
No NIH Category available.,Adult;Affect;Animal Model;anti-cancer therapeutic;base;Biochemical;bisulfite sequencing;Blood;Brain;Brain Neoplasms;cancer cell;cancer stem cell;Cell Differentiation process;Cell division;cell growth regulation;Cells;Characteristics;Chemicals;chemokine;chemotherapy;ChIP-seq;Clinical;Complex;conventional therapy;CXCR;cytokine;Data;Databases;Disease;Disease Progression;effective therapy;Epigenetic Process;epigenetic regulation;Equilibrium;fitness;Frequencies;Genes;Genetic;Glioblastoma;Glioma;Growth;Heterogeneity;Human;Immunohistochemistry;Individual;inhibitor/antagonist;insight;Interleukin-8;Laboratories;laser capture microdissection;Malignant Neoplasms;Mediating;Methods;Modeling;Molecular;neoplastic cell;Normal tissue morphology;novel;novel therapeutic intervention;Outcome;outcome forecast;overexpression;Pathway interactions;Patients;Permeability;Phenotype;Polycomb;Population;prevent;Primary Brain Neoplasms;Radiation therapy;receptor;Recurrence;Regulation;Relapse;Reporter;Resistance;Role;Sampling;Selection for Treatments;self-renewal;Signal Transduction;small hairpin RNA;stem;stem cell niche;Stem cells;stem-like cell;stemness;Stress;System;Testing;The Cancer Genome Atlas;Therapeutic;therapy outcome;therapy resistant;Time;Tissues;transcriptome sequencing;tumor;tumor microenvironment;Undifferentiated;Xenograft Model;Xenograft procedure;,Cellular plasticity and equilibrium in GBM progression,PROJECT NERRATIVEGlioblastoma multiforme (GBM) is the most common adult primary brain tumor with median survival less than14 months. This is partly due to almost all GBM eventually recur and recurred disease is more aggressive aswell as resistance to conventional therapy. The current proposal aim to elucidate the molecular mechanism ofGBM recurrence by investigating the intratumoral cell fate equilibrium and it contribution in diseaseprogression.,NINDS,9629750,18-Jan-19,PA-13-302,5R01NS096376-03,5,R01,NS,96376,3,,"FOUNTAIN, JANE W",1-Apr-17,31-Jan-22,Tumor Microenvironment Study Section (TME) ,,10679666,"AHMED, ATIQUE ",Not Applicable,7,NEUROSURGERY,5436803,US,41.896017,-87.616602,6144650,NORTHWESTERN UNIVERSITY AT CHICAGO,CHICAGO,IL,SCHOOLS OF MEDICINE,60611-3152,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,229893,112210,342103,
No NIH Category available.,abeta deposition;Abeta synthesis;Affect;Affinity;Alzheimer's Disease;Amyloid beta-Protein;Amyloid beta-Protein Precursor;Autopsy;base;Binding;Biological Markers;Blood - brain barrier anatomy;Blood capillaries;Blood coagulation;Blood Vessels;Brain;brain tissue;Cerebral Amyloid Angiopathy;Cerebrospinal Fluid;cerebrovascular;Cerebrovascular Circulation;Cerebrovascular Disorders;cerebrovascular pathology;Cerebrovascular system;Cessation of life;Clinical;Coagulation Process;Dementia;Deposition;Diagnosis;Disease;early onset;experimental study;Familial Cerebral Amyloid Angiopathy;Fibrin;Fibrin split products;Fibrinogen;Fibrinolysis;Functional disorder;Gene Proteins;Genes;Human;In Vitro;in vivo;in vivo imaging;Incidence;Individual;Inflammation;inhibitor/antagonist;Iowa;Late Onset Alzheimer Disease;Lead;Methods;Molecular;mouse model;mutant;Mutation;N-terminal;Neurologic Dysfunctions;non-demented;novel;Pathogenicity;Pathologic;Pathology;Patients;Peptides;Play;Reporting;Research;Risk;Risk Factors;Role;Sampling;Scheme;Spectrum Analysis;Stroke;Structure;Therapeutic;Thrombosis;vascular contributions;Vascular Diseases;,Studying Pathogenic Mechanism of Hereditary Cerebral Amyloid Angiopathy,Project NarrativeCerebral amyloid angiopathy (CAA); a condition where ?-amyloid (A?); a peptide that contributes toAlzheimer's disease (AD); accumulates within the blood vessels of the brain; is a major contributor ofbrain circulatory dysfunction of AD patients. There are rare familiar forms of CAA; called hereditarycerebral amyloid angiopathy (HCAA); wherein patients display exaggerated CAA pathology; and asevere clinical course of strokes; furthermore; they and suffer from early onset neurologicaldysfunction; dementia; and ultimately death. Because molecular mechanisms underlying CAAformation and subsequent severe brain circulatory pathology in both AD and HCAA patients isunclear; we propose to study pathogenic mechanisms of CAA by investigating a role for fibrinogen; amajor component of blood clots; in a mouse model of HCAA and postmortem brain tissue of patientswith this disease.,NINDS,9673244,19-Dec-18,PA-16-160,5R01NS104386-02,5,R01,NS,104386,2,,"CORRIVEAU, RODERICK A",1-Apr-18,31-Dec-22,Molecular Neurogenetics Study Section (MNG) ,,10512248,"AHN, HYUNG JIN ",Not Applicable,12,BIOLOGY,71037113,US,40.762898,-73.95652,7056601,ROCKEFELLER UNIVERSITY,NEW YORK,NY,OTHER DOMESTIC HIGHER EDUCATION,10065-6399,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NIA,250000,173750,423750,
No NIH Category available.,activity marker;analog;Anatomy;Architecture;Area;base;Behavior;Benchmarking;Biological;Biological Models;biophysical model;Biophysical Process;Brain;Brain imaging;Brain region;Brain Stem;Buffers;cell type;Cells;Cerebellum;Chemosensitization;Code;cognitive task;Computer Simulation;connectome;Coupled;Data;Decision Making;Development;Disease;Drug Design;Electron Microscopy;Electrophysiology (science);Environment;Etiology;excitatory neuron;Eye;Eye Movements;eye velocity;Functional Imaging;gaze;Genetic Markers;hindbrain;Image;image reconstruction;improved;in vivo;Information Storage;inhibitory neuron;insight;Knowledge;Laboratories;Learning;Maps;Measurement;Measures;Mediating;Memory;Mental Depression;Microscopy;Modeling;Monitor;Motor;motor disorder;motor learning;Motor Neurons;network models;Neurons;Neurosciences;next generation;oculomotor;optical imaging;Optics;Pattern;Physiological;Population;Positioning Attribute;predictive modeling;Property;Psychological reinforcement;reconstruction;relating to nervous system;Resolution;response;Short-Term Memory;Signal Transduction;Site;Stimulus;Structure;Synapses;System;Testing;tool;two-photon;virtual reality;Vision;Work;Zebrafish;,Circuit mechanisms underlying learned changes in persistent neural activity,NARRATIVEThe tuning of persistent neural activity; a sustained network response following brief stimulation;is important for a range of behaviors from sensorimotor integration to decision making. In thisproposal we will combine whole-network imaging; optical perturbations; serial-section electronmicroscopy; next-generation network modeling; and whole-cell patch electrophysiology todetermine the circuit mechanisms underlying the tuning of persistent activity.,NINDS,9623371,19-Dec-18,RFA-NS-17-014,5R01NS104926-02,5,R01,NS,104926,2,,"DAVID, KAREN KATE",15-Jan-18,31-Dec-22,Special Emphasis Panel (ZRG1-IFCN-T (50)),,9015882,"AKSAY, EMRE  ","GOLDMAN, MARK S;SEUNG, HYUNJUNE SEBASTIAN",12,PHYSIOLOGY,60217502,US,40.76491,-73.955055,1514803,WEILL MEDICAL COLL OF CORNELL UNIV,NEW YORK,NY,SCHOOLS OF MEDICINE,10065-4805,UNITED STATES, ,1-Jan-19,31-Dec-19,853,Research Projects,2019,NINDS,681202,128043,809245,
No NIH Category available.,Acute;Address;Adult;Animal Model;Animals;Anti-Retroviral Agents;antiretroviral therapy;Astrocytes;Astrocytoma;Brain;brain cell;Cell Line;cell type;Cells;Clinical;deep sequencing;Detection;Disease;DNA;Effectiveness;Evolution;fetal;Glial Fibrillary Acidic Protein;HIV;HIV Infections;HIV-associated neurocognitive disorder;Home environment;Human;Immune;in vivo;indexing;Infection;Inflammatory Response;Invaded;lymph nodes;macrophage;mature animal;Mediating;Modeling;mouse model;Mus;neglect;neonate;novel;Organ;Penetration;Peripheral;Peripheral Blood Mononuclear Cell;Pharmaceutical Preparations;Population;pressure;Process;reconstitution;RNA;Role;Seeds;Site;Spleen;T-Lymphocyte;targeted treatment;Techniques;Testing;Therapeutic Intervention;Time;Tissues;trafficking;Transplantation;Viral;Virus;,Dynamic interaction between HIV in the CNS and peripheral organs,Narrative: HIV is found in the brain soon after infection. Once in the brain; the thought is that HIVremains in that compartment and does not contribute to dissemination of HIV to other organs. To the contrary;we show (using an animal model) that this is not the case and that HIV in the CNS can migrate out and infectother peripheral organs. This finding has implications to the contribution of the CNS as a reservoir (a specificcell type called astrocyte). Here we will expand on our studies to understand the question of how this happens;if it still happens under antiretroviral treatment and more so under some antiretroviral drugs; and how does thevirus evolve over time in this scenario. Together; these studies will establish a role of the CNS as a reservoirthat has implications beyond the CNS,NINDS,9694883,29-Jan-19,PA-17-084,1R01NS108796-01A1,1,R01,NS,108796,1,A1,"WONG, MAY",1-Feb-19,30-Nov-23,NeuroAIDS and other End-Organ Diseases Study Section (NAED) ,,6664326,"AL-HARTHI, LENA ",Not Applicable,7,MICROBIOLOGY/IMMUN/VIROLOGY,68610245,US,41.875066,-87.66796,6644301,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,SCHOOLS OF MEDICINE,60612-3833,UNITED STATES, ,1-Feb-19,30-Nov-19,853,Research Projects,2019,NINDS,470538,268207,738745,
No NIH Category available.,Aging;Brain;Canine Adenoviruses;Cells;Chromatography;Communities;CRISPR/Cas technology;Custom;Development;Disease Progression;Equipment;Experimental Designs;experimental study;Faculty;fast protein liquid chromatography;Funding;Gene Delivery;Generations;Genes;Genetic;genetic manipulation;genome editing;Grant;innovation;Institutes;interest;Laboratories;Learning;Life Experience;Light;Location;Logistics;Maintenance;medical schools;meetings;Microscopy;Molecular;Nervous system structure;Neurons;Neurosciences;Neurosciences Research;new technology;optogenetics;Plasmids;Preparation;Process;Production;promoter;Proteins;Recombinant Proteins;Reporting;repository;Research;Research Activity;Research Personnel;Roller Bottle;Running;scale up;Services;Slice;Source;Specificity;Stem cells;Surveys;System;Techniques;Technology;tool;Transportation;vector;Viral;Viral Vector;Virus;virus core;,Gene Vector Virus Core,Project narrative for Gene Vector and Virus Core (GVVC) Today our ability to study how the nervous system evolves during development; aging; learning; lifeexperiences; or during disease progression is fundamentally dependent on our ability to make geneticconstructs and viral products for genetic manipulation. As part of the Stanford Neuroscience Cores; the GeneVector and Virus Core (GVVC) has provided viral vectors to manipulate and express recombinant proteins inthe whole brain; in slices; and in cellular systems in a temporally and spatially controlled manner. These toolsare essential for the research of a large part of the neuroscience community.,NINDS,9593522,11-Dec-18,RFA-NS-14-013,5P30NS069375-09,5,P30,NS,69375,9,,Unavailable,,,Special Emphasis Panel (ZNS1-SRB-N),5592,12540183,"ALCUDIA, JAVIER ",Not Applicable,18,Unavailable,9214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,Domestic Higher Education,94304-1222,UNITED STATES, ,1-Dec-18,30-Nov-19,,Research Centers,2019,,100811,58470,,159281
No NIH Category available.,Affinity;Amino Acids;analytical method;Arrhythmia;Binding;Binding Sites;Calcium;Calcium Binding;Calcium ion;Calcium Signaling;Calmodulin;Cell physiology;cell type;Characteristics;Chimera organism;Complex;Disease;EF Hand Motifs;Elements;Energy Transfer;Gated Ion Channel;Goals;Individual;Informatics;Ion Channel;Ion Channel Gating;Lanthanoid Series Elements;Lead;Ligand Binding;Ligands;light scattering;Link;luminescence;Measurement;Measures;Mediating;Mental disorders;Methods;Molecular;mutant;Mutation;Peptide Fragments;Peptides;physical property;Positioning Attribute;preference;pressure;Process;Property;protein complex;Proteins;public health relevance;Publishing;Regulation;Sequence Analysis;Signal Transduction;Signaling Protein;Site;Spectrum Analysis;stoichiometry;System;Testing;Thermodynamics;Titrations;Work;,Mechanisms of Calcium-Calmodulin Mediated Ion Channel Gating,Public Health Relevance Calcium is an important signal in a very wide variety of crucial processes in all types of cells in thebody. Many diseases are associated; directly or indirectly; by disfunction of the calcium signaling system. Ourwork focusses on understanding the important calcium signaling protein calmodulin which is a key element incalcium signaling and when disrupted leads to several diseases including mental disorders and fatal cardiacarrhythmias.,NINDS,9625664,11-Jan-19,PA-16-160,5R01NS077821-08,5,R01,NS,77821,8,,"SILBERBERG, SHAI D",1-Sep-11,31-Jan-22,Biophysics of Neural Systems Study Section (BPNS) ,,8829044,"ALDRICH, RICHARD ",Not Applicable,10,BIOLOGY,170230239,US,30.308138,-97.764903,578403,"UNIVERSITY OF TEXAS, AUSTIN",AUSTIN,TX,SCHOOLS OF ARTS AND SCIENCES,78759-5316,UNITED STATES, ,1-Feb-19,31-Jan-20,853,Research Projects,2019,NINDS,251642,142178,393820,
